BITOLA;PA12;PA13;PA22;PA23;PB12;PB13;PB22;PB23;PC2;PC3;PD2;PD3;XA12;XA13;XA22;XA23;XB12;XB13;XB22;XB23;XC2;XC3;XD2;XD3;PE2;PE3;PF2;PFT3;PF3;PGH3;PGV3;XE2;XE3;XF2;XFT3;XF3;XGH3;XGV3
1000;607;544;552;495;790;704;643;574;878;753;607;505;812;712;739;648;1061;955;870;780;1108;950;706;598;380;330;430;375;392;482;447;1186;1012;1347;1226;1285;1565;1472
800;529;475;482;432;687;612;563;502;761;654;537;446;708;622;644;566;922;830;760;682;958;824;624;529;322;280;363;315;330;407;376;1026;879;1164;1056;1106;1351;1266
630;456;410;416;373;592;527;488;435;653;562;471;391;611;538;556;490;794;714;658;590;821;707;547;464;282;245;316;274;287;356;327;879;755;996;129;942;1154;1077
500;396;356;360;324;512;456;425;378;563;486;414;345;530;468;483;426;687;617;573;513;707;610;482;408;244;212;273;237;247;308;282;756;652;856;159;806;991;921
400;345;311;314;283;446;397;372;331;488;422;366;305;462;409;421;372;597;536;500;448;612;529;426;361;210;183;235;203;212;265;241;654;566;740;206;694;856;792
300;289;261;263;237;372;331;313;278;406;351;313;260;387;344;352;313;499;447;421;377;508;440;364;308;173;150;192;166;173;217;196;543;471;613;253;571;708;652
240;252;227;229;207;324;288;274;243;352;305;277;230;338;300;307;273;433;389;368;329;439;382;322;272;135;117;149;128;133;169;152;470;409;530;296;492;611;561
185;215;194;195;176;275;245;234;208;298;259;240;200;288;256;262;233;368;330;314;281;371;323;279;236;111;96;122;105;109;139;124;397;347;447;343;413;515;470
150;189;170;172;155;241;214;206;183;261;227;213;178;253;226;230;206;323;289;277;248;324;283;249;210;89;78;98;84;87;112;99;346;304;389;395;358;448;408
120;164;149;150;135;210;186;181;160;226;197;189;157;220;197;201;180;281;251;242;216;280;245;220;186;73;61;73;62;65;84;73;300;263;337;471;308;387;351
95;142;129;130;118;181;161;157;139;195;170;166;138;191;171;175;157;242;217;210;188;241;211;193;164;0;0;0;0;0;0;0;257;227;289;547;264;332;300
70;118;107;108;98;150;133;131;116;160;140;140;117;158;142;145;131;200;179;175;156;198;174;163;138;0;0;0;0;0;0;0;211;187;237;663;215;271;244
50;93;84;86;78;118;104;104;92;125;110;113;94;125;113;115;104;157;140;138;124;154;136;132;112;0;0;0;0;0;0;0;164;146;184;770;165;210;188
35;77;70;71;65;97;86;86;77;103;90;96;80;103;94;96;87;130;116;115;103;126;112;112;94;0;0;0;0;0;0;0;135;120;150;899;135;172;153
25;63;57;58;53;79;70;71;62;83;73;80;66;84;76;78;71;105;93;94;84;101;90;93;78;0;0;0;0;0;0;0;108;97;121;0;107;138;122
16;48;43;44;41;60;53;54;48;66;59;62;52;64;58;60;55;79;71;72;64;84;76;73;61;0;0;0;0;0;0;0;91;77;90;0;79;103;90
